"IN","av","count"
708,0.95,1
709,109.55,4
710,40.84,16
711,66.8345454545454,44
712,65.3744,25
713,10.04,1
714,60,2
715,60.74,2
716,0.7,1
717,60,1
719,84.0575,4
720,58.4014814814815,27
721,50.6766666666667,3
722,60.4966666666667,9
723,5.70166666666667,6
724,60,1
725,32.494,20
726,108.7525,4
727,69.4776470588235,17
728,40.0466666666667,3
729,48.86,21
730,26.017,10
731,60,1
732,33.4075,4
733,36.434347826087,23
734,20.2011764705882,17
735,66.4,1
736,60,1
737,60,5
738,37.5375,8
739,60,1
740,36.7878947368421,19
741,5.65,1
742,67.6405882352941,17
743,43.0533333333333,3
744,132.0025,8
745,60,1
746,60,1
748,63.2665957446808,47
749,44.975,2
750,57.5,3
753,11.24,1
754,96.701,10
755,60.01,4
756,99.925,2
757,60,2
758,95.059,10
759,51.45,2
760,17.4257142857143,7
761,99.33,8
762,44.0681818181818,11
763,60,1
764,207.72,1
765,60,1
766,96.755,2
767,49.912,5
768,82.6163636363636,22
770,44.43875,16
771,45.511,10
772,60,7
773,52.5766666666667,15
774,69.4333333333333,12
775,20.6,16
776,57.4225,4
778,50.514,10
779,48.3083333333333,24
782,60,1
783,55.7,1
784,34.1192592592593,27
785,30.035,2
786,73.1333333333333,3
788,60,1
789,33.88,1
790,60,1
791,31.5726923076923,26
792,16.1004,25
794,60,4
795,62.53,1
796,60,1
797,60,1
798,28.936,10
800,113.466875,32
801,112.538571428571,7
802,75.52,1
804,13.3,1
805,60,1
806,26.94,3
807,93.98,1
808,31.625,2
809,60,5
810,115.305,2
811,51.54,4
812,96.12,9
814,39.43,2
815,54.4175,4
816,64.10125,8
817,60,1
818,60,1
819,95.3771428571429,7
820,86.8163157894737,19
821,60,1
822,56.2164285714286,14
823,80.37,4
824,40.5154545454545,11
825,66.7923076923077,13
826,1.54,1
827,60,2
828,34.4133333333333,24
830,76.3833333333333,27
831,77.7125714285714,35
834,129.205714285714,7
835,60,1
836,67.53,1
837,60,1
838,87.883,10
839,97.5516279069767,43
840,86.471,30
841,57.14,2
842,23.745,2
843,78.4007142857143,14
844,110.992820512821,39
845,93.2303225806452,31
846,82.97,1
847,60,3
848,74.0233333333333,3
849,58.415,8
850,92.7825,24
851,94.53,1
852,66.7358333333333,12
853,60,1
854,188.99,1
855,68.2757142857143,14
857,83.5496153846154,26
858,60,6
859,60,1
860,0.953333333333333,3
862,60,1
863,124.936666666667,6
864,43.4686666666667,30
865,80.3566666666667,18
867,14.37,1
869,30.085,2
870,47.6566666666667,18
871,26.87,2
872,93.36,22
873,32.3,1
874,60,1
875,36.6477777777778,18
876,58.95,1
877,72.9191666666667,12
878,49.46,1
879,0.24,1
880,60,4
881,25.4583333333333,12
882,104.926153846154,13
885,76.6766666666667,3
886,30.19,2
887,82.1664705882353,17
888,95.8459459459459,37
889,79.34875,8
890,73.4388888888889,9
891,54.917,20
892,75.08,1
893,60,1
894,52.715,2
895,17.63,1
896,80.5025,4
897,70.4115789473684,38
898,20.5254545454545,11
899,38.435,2
900,74.2333333333333,3
901,58.1,4
902,103.365476190476,42
903,61.84,1
904,73.5633333333333,27
905,3.005,2
906,31.76,4
907,60,1
908,14.2420833333333,24
909,51.745,2
910,86.3165909090909,44
911,38.5725,4
912,70.3816666666667,30
913,0.84,1
914,90.042,5
915,64.66,3
916,22.7854545454545,11
917,63.6866666666667,3
918,60,1
919,45.2076923076923,13
921,53.4427272727273,11
922,81.735,14
923,60,1
924,56.3166666666667,3
