"IN","av","count","class"
1536,97.4518181818182,11,1
1537,49.5686666666667,30,1
1539,118.03,1,1
1541,58.6147368421053,19,1
1542,63.49,1,1
1543,72.82,2,1
1544,60,1,1
1548,62.85,1,1
1549,68.4275,8,1
1551,46.4854545454545,11,1
1556,77.96875,24,1
1557,55.2127272727273,22,1
1558,101.272727272727,11,1
1560,60,1,1
1562,101.84,2,1
1563,97.0790909090909,22,1
1564,83.1266666666667,12,1
1565,60,3,1
1566,81.8836842105263,19,1
1570,47.8978571428571,14,1
1573,52.0435,20,1
1574,51.9,7,1
1577,55.5766666666667,3,1
1581,60,1,1
1583,46.5486956521739,23,1
1584,60,1,1
1586,84.2925,4,1
1587,17.146875,16,1
1589,57.078,10,1
1591,23.6875,4,1
1592,60,2,1
1595,61.793125,16,1
1603,54.7866666666667,3,1
1604,106.776,10,1
1606,53.2493333333333,15,1
1608,60,1,1
1609,32.58,24,1
1610,67.6657142857143,7,1
1612,38.8,1,1
1613,75.039,10,1
1614,49.745,2,1
1615,56.9,1,1
1616,68.98,1,1
1617,98.8766666666667,3,1
1622,52.08,1,1
1626,104.424337349398,83,1
1628,5.26,1,1
1630,60,1,1
1633,92.0761904761905,21,1
1634,32.7079310344828,29,1
1637,100.473333333333,6,1
1638,52.6228571428571,7,1
1639,60,1,1
1643,71.452,10,1
1644,62.4164285714286,14,1
1645,49.7833333333333,3,1
1646,77.794,5,1
1647,60,1,1
1651,90.5283333333333,6,1
1652,60,1,1
1653,80.6236842105263,19,1
1654,15.11,1,1
1657,71.9589830508475,59,1
1658,29.8,1,1
1660,65.53,11,1
1662,47.9266666666667,3,1
1664,46.054,5,1
1665,59.0985714285714,7,1
1667,78.550625,16,1
1668,33.7471428571429,7,1
1672,60,3,1
1675,36.8385714285714,7,1
1677,60,1,1
1678,60,1,1
1679,58.31375,24,1
1680,60,1,1
1681,60,2,1
1683,39.88,2,1
1685,56.535,10,1
1686,12.18,1,1
1687,75.0466666666667,3,1
1688,51.7014285714286,7,1
1689,20.2275862068966,29,1
1690,41.2296428571429,28,1
1691,56.896,5,1
1694,43.9063636363636,11,1
1697,60,3,1
1698,31.66,1,1
1700,56.6376470588235,17,1
1704,42.67,5,1
1707,4.75,9,1
1710,45.3685714285714,7,1
1714,37.5983333333333,6,1
1719,62.486,5,1
1720,66.35,4,1
1721,34.1,7,1
958,44.9485,20,2
1602,60,1,2
69,60,2,2
110,60,1,2
137,42.22,3,2
138,112.02,18,2
156,41.4754545454545,11,2
158,23.4090909090909,11,2
291,65.33,2,2
324,60,1,2
355,60,1,2
405,66.5085714285714,7,2
445,62.0033333333333,3,2
486,66.66,1,2
491,60,4,2
526,60,2,2
527,107.066,5,2
735,61.26,7,2
813,67.8233333333333,3,2
867,60,2,2
924,44.64,2,2
966,53.395,2,2
1011,60,1,2
1040,84.5656756756757,37,2
1075,60,2,2
1099,26.49,17,2
1137,81.371724137931,58,2
1138,51.682,5,2
1234,115.026111111111,18,2
1280,82.02,1,2
1292,172.13,1,2
1316,69.4571428571429,7,2
1362,90.9,6,2
1375,73.804,15,2
1410,60,1,2
1427,60,1,2
1452,82.50375,8,2
1571,60,2,2
1580,57.3533333333333,12,2
1607,30.3,8,2
1661,77.8183333333333,12,2
1695,60,2,2
3,64.31,2,2
8,60,1,2
9,71.0216666666667,6,2
11,52.957,10,2
18,34.04,2,2
26,60,1,2
32,60,1,2
33,60,2,2
39,76.55,4,2
40,79.8666666666667,3,2
42,31.552,10,2
46,92.615,4,2
49,100.375,8,2
50,66.975,14,2
55,34.57,2,2
56,60,1,2
70,53.5681818181818,11,2
77,82.00625,8,2
79,51.9866666666667,3,2
80,118.85,3,2
99,133.91,3,2
101,86.6715384615385,13,2
107,54.12,1,2
108,46.6375,4,2
